, etot, eang, etor, evdw, ehb, ecoul, density
0 , -14040.37331 , 5.38962444 , 7.45792527 , 102.40494379 , -0.27884075 , -16.81209562 , 1.8027258880452113
1 , -14040.5463 , 5.39717918 , 7.47036312 , 102.42976816 , -0.27592206 , -16.77169482 , 1.7759017903187504
2 , -14040.58877 , 5.02362137 , 7.78306842 , 102.01175652 , -0.28258254 , -17.13422501 , 1.7639991167139555
3 , -14040.42991 , 5.39407752 , 7.46316547 , 102.4089834 , -0.27696752 , -16.80739731 , 1.7681223132920845
4 , -14040.59667 , 5.02417345 , 7.78212919 , 102.00998735 , -0.28226738 , -17.13285147 , 1.7665189813444504
5 , -14040.52916 , 5.40411231 , 7.46234152 , 102.45472603 , -0.2804617 , -16.76486037 , 1.786710648487827
6 , -14040.38774 , 5.38990074 , 7.45896045 , 102.40661208 , -0.27862534 , -16.81111285 , 1.806879967117356
7 , -14040.48395 , 5.38145646 , 7.50648276 , 102.34004564 , -0.27447359 , -16.88628705 , 1.7770034784501114
8 , -14040.45962 , 5.40456659 , 7.44905516 , 102.45163915 , -0.28495845 , -16.79802252 , 1.77877423661219
9 , -14040.81746 , 5.09477842 , 7.65436954 , 102.460467 , -0.27180631 , -16.7228915 , 1.7224348188057819
10 , -14040.76809 , 4.80874163 , 7.89335703 , 101.92358637 , -0.27609101 , -16.79015583 , 1.7456263641839798
11 , -14040.66079 , 4.95609252 , 8.04264115 , 101.80317044 , -0.26623425 , -16.52669927 , 1.7820311099430768
12 , -14040.76653 , 4.7277878 , 7.93529715 , 101.68678685 , -0.28075918 , -16.57321807 , 1.7490001766098038
13 , -14040.67347 , 5.08696272 , 7.63599712 , 102.46576951 , -0.28320865 , -16.42233782 , 1.7870467341559595
14 , -14040.68416 , 4.95524433 , 8.03958486 , 101.80087891 , -0.26553254 , -16.51421258 , 1.7881716962149559
15 , -14040.83489 , 4.85040236 , 7.93258948 , 101.75501095 , -0.29499915 , -17.22068224 , 1.8234474348135339
16 , -14040.87071 , 4.85138235 , 7.9326816 , 101.75847284 , -0.29488408 , -17.22236681 , 1.8146156358438579
17 , -14040.84022 , 4.85050872 , 7.93258336 , 101.75740813 , -0.29490678 , -17.22148679 , 1.8171258864647024
18 , -14040.86096 , 4.85419091 , 7.93278232 , 101.76319144 , -0.29483514 , -17.22830791 , 1.7971646449616412
19 , -14040.38199 , 5.08376901 , 7.66411844 , 102.19982867 , -0.29831797 , -16.62150105 , 1.7895170144357428
20 , -14040.29914 , 5.09042073 , 7.66725984 , 102.21974256 , -0.30391197 , -16.70915541 , 1.7732596627933275
21 , -14040.54322 , 5.14993161 , 7.55241853 , 102.31355453 , -0.2672482 , -17.01012152 , 1.8194174853069298
22 , -14040.60104 , 4.84155112 , 7.67574237 , 101.96660904 , -0.25481361 , -16.7356116 , 1.7792685936026735
23 , -14040.36514 , 5.08072672 , 7.66304892 , 102.19119313 , -0.29620797 , -16.60155237 , 1.8034573725969412
24 , -14040.53668 , 4.85240009 , 7.7289326 , 101.98366413 , -0.24875709 , -16.7329224 , 1.814034218686047
25 , -14040.53019 , 4.85237283 , 7.73031789 , 101.98285526 , -0.24860003 , -16.73359178 , 1.8029382233807196
26 , -14040.52093 , 4.83839103 , 7.74441287 , 101.95008853 , -0.24599682 , -16.71399914 , 1.8210541874777733
27 , -14040.53918 , 4.85119157 , 7.73036196 , 101.97022444 , -0.2484833 , -16.73290062 , 1.8118361593610601
28 , -14040.38762 , 5.08081224 , 7.66257026 , 102.19361315 , -0.29550093 , -16.59415551 , 1.8052104514224614
29 , -14040.5419 , 5.16598341 , 7.54010554 , 102.34969862 , -0.26584751 , -17.00407723 , 1.837070623675994
30 , -14040.61705 , 4.8397825 , 7.6764077 , 101.95876037 , -0.25366299 , -16.72681361 , 1.7997323637226776
31 , -14040.35058 , 5.03663636 , 7.67321681 , 102.04864803 , -0.27417572 , -16.60824413 , 1.8160799522845066
