, etot, eang, etor, evdw, ehb, ecoul, density
0 , -573.96693996 , 5.38962444 , 7.45792527 , 102.40494379 , -0.27884075 , -16.81209562 , 1.893192333638938
1 , -573.96576992 , 5.39717918 , 7.47036312 , 102.42976816 , -0.27592206 , -16.77169482 , 1.8886402607470494
2 , -574.06505562 , 5.02362137 , 7.78306842 , 102.01175652 , -0.28258254 , -17.13422501 , 1.875433732223507
3 , -573.96710964 , 5.39407752 , 7.46316547 , 102.4089834 , -0.27696752 , -16.80739731 , 1.8916613927028243
4 , -574.06510938 , 5.02417345 , 7.78212919 , 102.00998735 , -0.28226738 , -17.13285147 , 1.875138099551783
5 , -573.96525844 , 5.40411231 , 7.46234152 , 102.45472603 , -0.2804617 , -16.76486037 , 1.8883431156039259
6 , -573.96707571 , 5.38990074 , 7.45896045 , 102.40661208 , -0.27862534 , -16.81111285 , 1.8928973153553494
7 , -573.94798367 , 5.38145646 , 7.50648276 , 102.34004564 , -0.27447359 , -16.88628705 , 1.8999567510683777
8 , -573.96762223 , 5.40456659 , 7.44905516 , 102.45163915 , -0.28495845 , -16.79802252 , 1.8890822413876962
9 , -574.22652603 , 5.09477842 , 7.65436954 , 102.460467 , -0.27180631 , -16.7228915 , 1.8671215643256824
10 , -574.14465576 , 4.80874163 , 7.89335703 , 101.92358637 , -0.27609101 , -16.79015583 , 1.8328119408881265
11 , -574.0897729 , 4.95609252 , 8.04264115 , 101.80317044 , -0.26623425 , -16.52669927 , 1.8829154263669214
12 , -574.15827937 , 4.7277878 , 7.93529715 , 101.68678685 , -0.28075918 , -16.57321807 , 1.8541812386124068
13 , -574.17020103 , 5.08696272 , 7.63599712 , 102.46576951 , -0.28320865 , -16.42233782 , 1.874017039265992
14 , -574.08955262 , 4.95524433 , 8.03958486 , 101.80087891 , -0.26553254 , -16.51421258 , 1.8836869619494239
15 , -574.25082087 , 4.85040236 , 7.93258948 , 101.75501095 , -0.29499915 , -17.22068224 , 1.900512031883975
16 , -574.25083201 , 4.85138235 , 7.9326816 , 101.75847284 , -0.29488408 , -17.22236681 , 1.9002028872240546
17 , -574.25080993 , 4.85050872 , 7.93258336 , 101.75740813 , -0.29490678 , -17.22148679 , 1.9002430482796215
18 , -574.25075061 , 4.85419091 , 7.93278232 , 101.76319144 , -0.29483514 , -17.22830791 , 1.8997117383599913
19 , -573.98548179 , 5.08376901 , 7.66411844 , 102.19982867 , -0.29831797 , -16.62150105 , 1.8884859239383165
20 , -573.98331262 , 5.09042073 , 7.66725984 , 102.21974256 , -0.30391197 , -16.70915541 , 1.8806482300723661
21 , -574.0903195 , 5.14993161 , 7.55241853 , 102.31355453 , -0.2672482 , -17.01012152 , 1.9151547088518708
22 , -574.24172889 , 4.84155112 , 7.67574237 , 101.96660904 , -0.25481361 , -16.7356116 , 1.8727949389148815
23 , -573.98508263 , 5.08072672 , 7.66304892 , 102.19119313 , -0.29620797 , -16.60155237 , 1.8901569416623023
24 , -574.19871034 , 4.85240009 , 7.7289326 , 101.98366413 , -0.24875709 , -16.7329224 , 1.8882890800786236
25 , -574.19856824 , 4.85237283 , 7.73031789 , 101.98285526 , -0.24860003 , -16.73359178 , 1.8885115944731112
26 , -574.19096467 , 4.83839103 , 7.74441287 , 101.95008853 , -0.24599682 , -16.71399914 , 1.8855033608797669
27 , -574.19836437 , 4.85119157 , 7.73036196 , 101.97022444 , -0.2484833 , -16.73290062 , 1.8885340997033437
28 , -573.98487098 , 5.08081224 , 7.66257026 , 102.19361315 , -0.29550093 , -16.59415551 , 1.890742795395892
29 , -574.09200198 , 5.16598341 , 7.54010554 , 102.34969862 , -0.26584751 , -17.00407723 , 1.9144848497412932
30 , -574.24143287 , 4.8397825 , 7.6764077 , 101.95876037 , -0.25366299 , -16.72681361 , 1.8739555555307352
