, etot, ebond, eang, etor, evdw, ehb_cho, ehb_chn,ehb_chc, ecoul, density
0 , -28081.14097 , -1382.6877769 , 13.16063899 , 5.55760768 , 238.42242095 , -9.6764994 , -0.53303459 , -0.16503832 , -34.09419376 , 1.7764148267188336
1 , -28080.82537 , -1383.30665137 , 13.39878847 , 5.53249218 , 238.70859617 , -8.27711315 , -0.58983224 , -0.40759134 , -32.40100379 , 1.8074978570769895
2 , -28080.88996 , -1384.11560306 , 14.28652288 , 5.50473617 , 238.83386902 , -6.96327385 , -0.53283796 , -0.27397599 , -32.29113972 , 1.7660946023999962
3 , -28080.91095 , -1383.42556032 , 13.53386839 , 5.55557439 , 238.73053188 , -8.37857184 , -0.59875969 , -0.37367734 , -32.90055958 , 1.8222377521770583
4 , -28081.20911 , -1381.95005222 , 12.79617076 , 5.91114267 , 237.86170545 , -9.07665465 , -0.58291264 , -0.15014788 , -33.27286716 , 1.7537502313100533
5 , -28080.45037 , -1383.39813117 , 13.6038107 , 6.00264671 , 238.59969317 , -8.28133876 , -0.61384285 , -0.15868368 , -33.4901356 , 1.718766523252125
6 , -28080.81124 , -1382.3843133 , 12.79388479 , 5.77955037 , 238.44927167 , -9.2225151 , -0.68246441 , -0.14912179 , -33.48894863 , 1.7755195072426786
7 , -28081.03681 , -1382.68394574 , 13.15804472 , 5.558791 , 238.41808926 , -9.66935579 , -0.53713544 , -0.1652505 , -34.07339949 , 1.7827307146008524
8 , -28080.56798 , -1382.67641409 , 13.12368615 , 5.69611589 , 238.32312571 , -8.59693254 , -0.65236555 , -0.19273629 , -33.29494903 , 1.7581818375700071
9 , -28080.63373 , -1382.38396609 , 12.85072194 , 5.77072323 , 238.39861418 , -9.45728323 , -0.6408626 , -0.14994206 , -33.30269994 , 1.7788131653299126
10 , -28080.90557 , -1384.06062521 , 14.25599449 , 5.44167781 , 238.87896153 , -6.92395308 , -0.48472938 , -0.25830523 , -32.44578758 , 1.769390791792333
11 , -28080.76774 , -1383.13790554 , 13.2480674 , 5.62729947 , 238.51202242 , -8.30072045 , -0.60349229 , -0.42617037 , -32.14964033 , 1.81071886016853
12 , -28080.25097 , -1382.88157454 , 13.70374717 , 5.73935283 , 238.36994562 , -8.0734045 , -0.77816018 , -0.16690082 , -32.36278004 , 1.7021078763124922
13 , -28082.09333 , -1381.22404283 , 12.20502024 , 5.87377825 , 237.1762165 , -9.21452661 , -0.63877097 , -0.15435647 , -32.30395958 , 1.8466660676760789
14 , -28082.06162 , -1383.29704915 , 13.72598901 , 5.49671047 , 238.9455214 , -10.80339665 , -0.71011298 , -0.15135014 , -35.89306262 , 1.8533317962725575
15 , -28082.01061 , -1383.29429748 , 13.72555676 , 5.4966929 , 238.94242811 , -10.80692716 , -0.71281886 , -0.15144166 , -35.88834087 , 1.859517599093337
16 , -28080.49099 , -1381.70391351 , 12.96102321 , 6.14551164 , 237.50855017 , -8.03011678 , -0.48914104 , -0.18704575 , -31.92022305 , 1.6381406942412715
17 , -28081.09759 , -1382.65123058 , 13.15847979 , 5.56921304 , 238.37667089 , -9.6789731 , -0.54330118 , -0.16605514 , -34.06160646 , 1.771811926431102
18 , -28080.79555 , -1382.66014054 , 13.09102869 , 5.83466308 , 238.21003646 , -8.59139071 , -0.45735184 , -0.15939301 , -33.53084641 , 1.7000218211753413
19 , -28080.98587 , -1382.67377924 , 13.14435101 , 5.56639624 , 238.40593205 , -9.57638467 , -0.54325186 , -0.16503584 , -33.94620421 , 1.768556861129637
20 , -28081.20616 , -1382.29030779 , 12.66423211 , 5.90001159 , 237.9285768 , -8.89218189 , -0.56472231 , -0.15410881 , -32.3355115 , 1.7484699731190858
21 , -28081.4162 , -1382.80141606 , 13.14628491 , 5.83915936 , 238.04061021 , -8.88879031 , -0.472874 , -0.15176289 , -34.1905194 , 1.782876849487319
22 , -28081.43626 , -1382.83599877 , 13.14232668 , 5.84551376 , 238.07519516 , -8.91780344 , -0.47321761 , -0.15180066 , -34.19748626 , 1.777996897140903
23 , -28081.23886 , -1383.14324513 , 13.41415247 , 6.20763139 , 238.81113394 , -8.41706152 , -0.63222376 , -0.16639433 , -33.40092693 , 1.707239646240991
24 , -28081.21634 , -1382.48776929 , 13.00525589 , 5.66437622 , 238.24807944 , -9.03688656 , -0.49375134 , -0.16372434 , -34.38403203 , 1.8002742645735739
25 , -28079.91165 , -1382.41885954 , 13.34680044 , 5.58415598 , 238.34948136 , -8.04876236 , -0.63016338 , -0.15394737 , -33.53348557 , 1.7065727561777146
