, etot, ebond, eang, etor, evdw, ehb_cho,ehb_chn,ehb_chc, ecoul, density
0 , -1136.27463764 , -1389.10759688 , 12.68905515 , 7.79826163 , 250.95955165 , -8.87076949 , -0.52653954 , -0.5200876 , -33.56928838 , 1.9147653021835513
1 , -1136.26344899 , -1389.1236578 , 12.69547225 , 7.76597073 , 251.00291754 , -8.86560319 , -0.52979481 , -0.55224186 , -33.50734751 , 1.9126869668498772
2 , -1136.50759767 , -1387.86232362 , 11.8981861 , 8.22858524 , 250.15142277 , -9.43652723 , -0.51095858 , -0.35541902 , -34.15460485 , 1.8743994146414211
3 , -1136.27093023 , -1389.05858027 , 12.6721754 , 7.82064846 , 250.90120466 , -8.79296025 , -0.53504272 , -0.51471256 , -33.53428693 , 1.9154287020721688
4 , -1136.5021328 , -1387.90019488 , 11.90932321 , 8.22378138 , 250.18379377 , -9.39267281 , -0.49861484 , -0.35267326 , -34.17490907 , 1.873123561355334
5 , -1136.25488835 , -1389.12301139 , 12.70085947 , 7.74788099 , 251.02751397 , -8.9183612 , -0.53389864 , -0.5704558 , -33.49590413 , 1.9130383266457254
6 , -1136.27470575 , -1389.08298002 , 12.68498245 , 7.79259792 , 250.94700135 , -8.88163241 , -0.52546579 , -0.52454644 , -33.57320283 , 1.9145098046265872
7 , -1136.27439813 , -1389.07288818 , 12.67267596 , 7.88796843 , 250.84264722 , -8.71749636 , -0.54378287 , -0.4872205 , -33.56473465 , 1.9178151876172869
8 , -1136.25510979 , -1389.14877364 , 12.71854601 , 7.74005886 , 251.06519136 , -9.05553895 , -0.54017008 , -0.57621608 , -33.54670148 , 1.9135846995885841
9 , -1136.48633757 , -1389.58158142 , 12.37048102 , 8.14653759 , 251.29720738 , -8.99263326 , -0.6849503 , -0.33654285 , -33.46948746 , 1.8516550874082491
10 , -1136.30996701 , -1388.1200985 , 11.5919743 , 8.41055362 , 250.36403511 , -8.80466401 , -0.50612203 , -0.32116467 , -33.12780285 , 1.8302041634534782
11 , -1135.99110683 , -1388.76502829 , 12.01614307 , 8.94889208 , 250.43820974 , -9.16972532 , -0.62350352 , -0.30760548 , -32.70901097 , 1.8617384816236082
12 , -1136.37414848 , -1387.9189436 , 11.53949157 , 8.54301098 , 250.14213761 , -9.3239788 , -0.57496321 , -0.32625293 , -33.28726393 , 1.8535450960014301
13 , -1136.33040364 , -1389.34855025 , 12.42572194 , 8.05913459 , 251.17682556 , -9.42150773 , -0.72065446 , -0.33459658 , -33.05771193 , 1.8573058158926867
14 , -1135.99447754 , -1388.9194546 , 12.0847797 , 8.91858395 , 250.51618905 , -9.16044752 , -0.62828328 , -0.31857802 , -32.74182675 , 1.8765881771266133
15 , -1136.80086719 , -1388.10042108 , 11.69260315 , 8.47703138 , 249.94509019 , -9.14270801 , -0.59271092 , -0.29171299 , -34.24369503 , 1.8753480778828175
16 , -1136.80299775 , -1388.13654043 , 11.71639136 , 8.46949179 , 249.97935333 , -9.1134884 , -0.56777993 , -0.28970129 , -34.30946485 , 1.8739861344552269
17 , -1136.80302649 , -1388.13380965 , 11.70857066 , 8.47686652 , 249.96886738 , -9.13361437 , -0.58414242 , -0.29105713 , -34.27792768 , 1.8750176538912615
18 , -1136.8028354 , -1388.16345308 , 11.72496407 , 8.47094881 , 250.00158269 , -9.12223084 , -0.56912762 , -0.28960645 , -34.32335557 , 1.8744510972506878
